id,ticker,texto,filtro_aceitou,relevante_humano,sentimento_humano
1,BOVA11,Precificação da 1ª Oferta Publica - versão inglês,0,,
2,ISUS11,Petrobras sobre Diretoria de Transição Energética e Sustentabilidade,1,,
3,ISUS11,alienação de 100% da Ciclus Ambiental S.A.,1,,
4,REVE11,Aquisição aterro Santa Luzia,0,,
5,BOVA11,Proposta para aprovação em assembleia de aumento de capital com bonificação em ações aos acionistas,0,,
6,ISUS11,Eleição de Diretores Vice-Presidentes de Novos Negócios e Inovação e de Relações Institucionais e Sustentabilidade,1,,
7,BOVA11,Cancelamento voluntário da Companhia do segmento básico de  listagem da B3 S.A.,1,,
8,REVE11,Reorganização societária no âmbito do controle,0,,
9,GOVE11,Cartas recebidas de Acionistas Minoritários e dos Acionistas Controladores,1,,
10,GOVE11,Eleição de novo membro para a presidência do Conselho de Administração,1,,
11,REVE11,Fechamento da operação de aquisição dos conjuntos fotovoltaicos,1,,
12,BOVA11,Ofício B3 suspensão do prazo para enquadramento.,1,,
13,BOVA11,Precificação de Oferta Pública de Ações,0,,
14,ISUS11,Eleição e Recondução da Diretoria Executiva,0,,
15,REVE11,Antecipação Demonstrações Financeiras,0,,
16,REVE11,Azul comunica atualização de relatório de classificação de risco pela Fitch Ratings,0,,
17,GOVE11,Procedimentos Pagamento,0,,
18,GOVE11,Protocolo e Justificação de Incorporação das Ações da EMAE,0,,
19,BOVA11,Alteração de Rating Light S.A. e subsidiárias - Moody's e S&ampP,0,,
20,GOVE11,informa aos seus acionistas e ao mercado em geral que concluiu com sucesso as a??vidades de recuperação e restabelecimento de seu ambiente tecnológico e operacional.,1,,
21,BOVA11,"Pagamento de Juros Sobre o Capital Próprio (""JCP"")",1,,
22,ISUS11,Assinatura do Terceiro Termo Aditivo e do Quarto Termo Aditivo ao Contrato de Concessão dos Serviços Públicos de Fornecimento de Água e Esgotamento Sanitário da Região Metropolitana de Maceió,1,,
23,BOVA11,Proposta para pagamento de juros sobre o capital próprio,1,,
24,BOVA11,Plano de Outorga de Ações Restritas,0,,
25,ISUS11,Alterações na Composição do Conselho de Administração e Comitê de Pessoas e ESG,1,,
26,REVE11,Encerramento do contrato de fornecimento de pás eólicas celebrado com a Siemens Gamesa,1,,
27,ISUS11,Aquisição Oeste Ambiental,1,,
28,BOVA11,Pagamento de Juros sobre o Capital Próprio Intermediários,1,,
29,REVE11,Política de Distribuição de Dividendos,0,,
30,ISUS11,As Propostas do Plano de Sustentabilidade e do Contrato de Gestão da Telebras são encaminhadas ao MCom e encontram-se em análise pelo MGI,1,,
31,GOVE11,Leilão Rota Mogiana,0,,
32,BOVA11,Distribuição de Dividendos/Juros sobre Capital Próprio,1,,
33,BOVA11,Prorrogação da Suspensão da Exigibilidade de Obrigações Extraconcursais das Recuperandas,0,,
34,ISUS11,Renuncia CFO-DRI (Ingles),0,,
35,REVE11,Juros sobre o capital próprio,0,,
36,REVE11,Decisão órgão regulador Uruguai,0,,
37,ISUS11,Almacenes Éxito S.A. informa os seus acionistas e o mercado em geral que a Assembleia Geral de Acionistas aprovou hoje a alteração dos estatutos da Sociedade.,0,,
38,GOVE11,Falecimento do Vice-Presidente do Conselho de Administração,1,,
39,ISUS11,Emissão de US$ 500 milhões em bonds sustentáveis e atrelados metas de sustentabilidade,1,,
40,BOVA11,Reorganização Interna de Empresas do Grupo,0,,
41,ISUS11,Azul Anuncia a Conclusão da Restruturação com Arrendadores e Fabricantes,0,,
42,BOVA11,Pagamento de Juros Sobre Capital Próprio Complementar 1T26,1,,
43,GOVE11,Petrobras informa sobre indicações por minoritários para o Conselho de Administração e para o Conselho Fiscal,1,,
44,BOVA11,Pagamento de Juros Sobre o Capital Próprio referente ao 1T23,1,,
45,BOVA11,Convocação de AGE e alterações na administração,0,,
46,GOVE11,Mudança no Bloco de Controle e Aditamento do Acordo de Acionistas,1,,
47,ISUS11,Aprovação do Plano de Sustentabilidade e assinatura do Contrato de Gestão da Telebras,1,,
48,BOVA11,FR 04/25 - Conselho de Administração Aprova Proposta de Migração da Copel para o Novo Mercado da B3,1,,
49,GOVE11,pagamento de dividendos aos acionistas,1,,
50,BOVA11,"Enauta informa que celebrou contrato para a compra da totalidade da participação de 23% detida pela QatarEnergy Brasil Ltda. nos campos de petróleo de Abalone, Ostra e Argonauta",1,,
51,ISUS11,DECISÕES DO CONSELHO DE ADMINISTRAÇÃO,0,,
52,REVE11,Aquisição da Sociedade Educacional Fortaleza,0,,
53,ISUS11,Primeiro Aditamento ao Termo de Adesão ao Acordo de Acionistas da BRK Ambiental Participações S.A.,1,,
54,ISUS11,Aegea anuncia oferta vencedora na licitação para prestação de serviços públicos de abastecimento de água potável e esgotamento sanitário em Governador Valadares (MG),1,,
55,REVE11,Comunicado de Falecimento - Membro do Conselho de Administração,0,,
56,REVE11,Conclusão da Aquisição da Fasternet,0,,
57,ISUS11,Operação Carbono Oculto,1,,
58,ISUS11,Aprovação de proposta para pagamento de juros sobre o capital próprio complementares,0,,
